publisher
Houghton Mifflin Co. (Boston/NY)
Modern Library
Deodand
Penguin
Dante University of America Press
Pocket Books
Griffin
Farrar  Straus and Giroux
Signet
Tor Books
Harper Perennial
Simon and Schuster
Tyndale House Publishers
Warne
Bantam Books
Grand Central Publishing
Bantam
Rupa & Co
Tor Books
Ecco/Harper Perennial
Doubleday & Company  Inc.
Virago Press (UK)
Dial Press Trade Paperback
LGF
Houghton Mifflin Harcourt
Scribner
VIZ Media LLC
Signet
Vertigo
Berkley
Penguin Classics
Owl Books (Henry Holt)
Vintage
Harper Perennial
Back Bay Books
Simon  Schuster
Del Rey
Houghton Mifflin Company
HarperTorch
Picador USA
Ace Book
Speak
Harper Trophy
Penguin Books
Penguin Books
New World Library
Vintage
Ballantine Books
Oni Press
Signet
Signet
Grand Central Publishing
Simon  Schuster
Kingfisher
Simon Pulse
Delta
Tom Doherty Tor Fantasy
Grand Central Publishing
Sarah Crichton Books
Penguin Books
Puffin Books
Houghton Mifflin Harcourt
Viking Adult
Berkley
Signet
Avon Books
Pantheon
Atria Books
Barnes & Noble
Candlewick Press
Puffin
Delta
Prestwick House - (Literary Touchstone Classic)
St. Martin's Press
Signet Classics
VIZ Media LLC
Signet Book
Oxford University Press  USA
Simon Schuster
Washington Square Press
Penguin Classics
Albin Michel
Little Brown and Company
William Morrow / HarperCollins / Harper Perennial
HarperTorch
Simon & Schuster
Fourth Estate Paperbacks
Starscape
Delacorte Press
Plume
Harper Perennial
Harper Paperbacks
Houghton Mifflin Harcourt
Vision
Harper Perennial Modern Classics
Dell
Digireads.com
Princeton University Press
Warner Books
Crown
Pocket Books
Random House
Vision
Spectra Books
Grand Central Publishing
Grand Central Publishing
St. Martin's Press
Atheneum Books for Young Readers
Berkley
Ballantine Books
Black Dog & Leventhal Publishers
Vintage
Penguin Books
Vintage
Perfection Learning
Tor Books
Scholastic Paperbacks
Vertigo
Bantam Spectra
Debolsillo
St. Martin's Press
Shadow Mountain
Smithmark Publishers
HarperCollins
Berkley
Faber  Faber
Golden Books
Hachette Books
Penguin Classics
Simon  Schuster
Orbit
Penguin Books
Little  Brown and Company
Vintage
Penguin Books
VIZ Media LLC
NAL
Alfred A. Knopf Borzoi Books
Dial Press
See Sharp Press
New English Library
Norton
Harper Perennial
Signet Classics
William Morrow Paperbacks
Signet
Tor Books
St. Martin's Paperbacks
Voyager
Allen & Ulwin
Ballantine Books
Penguin Classics
Penguin Classics
Mariner Books
Bantam
Tor Books
W. W. Norton & Company
Random House Trade Paperbacks
Onyx
Delta
Penguin Books
Penguin Books
St. Martin's Press
Vintage Crime
Little  Brown and Company
Black Dog & Leventhal Publishers
Penguin Books
Vintage
St. Martin's Press
Ballantine Books
Simon Pulse
St. Martin's Griffin
Dell Publishing Company
HarperTorch
Puffin Books
Starfire
Random House
Harper Perennial
Ace Books
Delta
Penguin Books
Oxford University Press
Penguin Books
Warner Books
Thomas Nelson
Penguin Books
Dell Publishing Company
St. Martin's Press
Dell Publishing Company
Signet
Modern Library
Picador USA
Hodder & Stoughton
Ember
Riverhead Books
Oxford University Press
St. Martin's Press
Roc
New Millennium Library
HarperTorch
The Chicken House
St. Martin's Griffin
William Morrow
Bantam
Random House Books for Young Readers
Island
Tarcherperigee
Harper Perennial
Red Fox
Arrow
Farrar  Straus and Giroux (NY)
HarperCollins
Random House
Vintage
Vintage
Plume
Broadway Books
Dover Publications
Washington Square Press
Tor Fantasy
Ace
Crossway Books
Everyman's Library
HarperCollins Publishers
Top Shelf Productions
Bantam Books  Inc.
Anchor Books
Yearling Books
City Lights
W. W. Norton  Company
Ace
Tor Books
DC Comics
Ace
Doubleday
Gramercy Books
NAL Jam
Knopf Books for Young Readers
Corgi
Avon
Vintage
Simon & Schuster; Media Tie-In edition
St. Martin's Press
Bloomsbury Childrens Books
Little  Brown and Company
William Morrow Paperbacks
Penguin Books
Knopf Publishing Group
Riverhead Hardcover
Penguin Books
Gallery Books
Plume Books
Back Bay Books
Grand Central Publishing
Back Bay Books
Vintage
Castle Books
Anchor
Berkley
Signet Classics
Simon Pulse
Mariner Books
Picador USA
Dover Publications
Berkley Books
Penguin Books
Harper Business
Dell Publishing Company
Delta
William Morrow Paperbacks
Delta Publishing
Penguin Classics
Harper Perennial Modern Classics
Bantam Classics
Grand Central Publishing
Ballantine Books
Vintage
Grove Press
Penguin Books /Penguin Classics
Farrar  Straus and Giroux
Simon  Schuster
Bantam Spectra
Gallery / Saga Press
Pocket Books
Hartorch
Penguin Books
Broadway Books
Simon Pulse
Delta
Delta
Bantam Classics
HarperTrophy
Signet
Simon  Schuster
Arrow
Knopf
HarperOne
Spectra
Mysterious Press
HarperOne
HarperCollins Publishers
Bloomsbury Academic
Gollancz
Speak
Ballantine Books
Vintage
Black Dog & Leventhal Publishers
Orion
Ballantine Books
Knopf Publishing Group
Virago
Vintage
Atria Books
Anchor Books
Grand Central Publishing
Penguin Books
Grand Central Publishing
Delta
Bantam
Pocket Books
Berkley
Pocket Books
Spectra
Washington Square Press
HarperTrophy
Back Bay Books
Dell
Penguin Books
Candlewick Press
Barnes  Noble Classics
Dial Press Trade Paperback
Disney-Hyperion
Grove Press
Ecco
McSweeney's
Jossey-Bass
Arrow
Tor Books
Bantam
Riverhead Books
Anchor
Alfred A. Knopf Books for Young Readers
Wyatt Book
G.P. Putnam's Sons
Brilliance Audio
Grand Central Publishing
Square Fish
Harper Voyager
Dial Press
Berkley Hardcover
HarperCollins
HarperCollins
Random House Trade
Vertigo
Anchor Books
Bantam
La factoría de ideas
Corgi
No Exit Press
Vintage
G.P. Putnam's Sons
Del Rey
Vintage
Plume
Vision
Simon Schuster
Delacorte Books
Signet Classics
Scribner
Gallery Books
Simon Pulse
Penguin Classics
Gallery Books
Bantam Books
Penguin Books
Ember
Pocket Books / Simon & Schuster  Inc.
Berkley
Random House Trade Paperbacks
Penguin (Business)
Berkley Hardcover
William Morrow
Noonday Press
Corgi
HarperTorch
Alfred A. Knopf
Bantam
Modern Library
HarperTrophy
Vintage
Berkley Hardcover
Harper
Ballantine Books
Scribner
Seuil
HarperOne
Delta
Berkley Books
HarperCollins
Grand Central Publishing
HarperTorch
Tanglewood
G.P. Putnam's Sons
Vintage International
Berkley
Pantheon Books
Harper Perennial
Pocket Star
Random House
Ballantine Books (NY)
Penguin
Orbit
Ballantine Books
Vintage
Amistad
Pocket Books
Vintage Books
Dial Press
Penguin Books
Penguin Books
Millenium
Yearling
Berkley Books
Doubleday Books
William Morrow Paperbacks
Touchstone Books
Random House Trade Paperbacks
Thomas Nelson
Puffin Books
Vintage
Penguin Classics
Dover Publications
Scribner
No Exit Press
Little  Brown and Company
Penguin
Penguin Books Limited
Bantam
Ballantine Books
Washington Square Press
HarperTorch
Signet
HarperTorch
Square Fish
NAL
Berkley Books
Berkley Books
William Morrow Paperbacks
Harper Business
Penguin Books
Corgi
Vintage
Pearson
Warner Books
Scribner
Avon Books
Bantam
Anchor
Applewood Books
HarperCollins
Grove Press
Orion
HarperCollins
Corgi
Gallery Books
Penguin Books
Anchor
Vintage
Penguin Books Ltd. (London)
Ecco
William Morrow Paperbacks
TIme Warner Books
Health Communications Inc
Doubleday Books
DC Comics
Arrow
Debolsillo
Corgi Childrens
Victor Gollancz
Black Swan
Vertigo
Listening Library (Audio)
Arrow Books Ltd
Crossway Books
Ace Hardcover
Ballantine Books
Penguin Books
Vintage
Random House Vintage
Delacorte Press
Simon Pulse
Signet Book
Jove
Arrow Books
Berkley
Vintage
Broadway Books
Penguin
Andrews McMeel Publishing
Hachette Books
Citadel
Houghton Mifflin Company
Penguin
HarperCollins
Marvel
William Morrow Paperbacks
Penguin Classics
Penguin
Bantam Classics
Little Brown and Company
Square Fish
Harper Voyager
Plume Books
Vintage
HarperTorch
HarperOne
Penguin Classics
Rizzoli
DC Comics
Walker Books
Harcourt Brace
St. Martin's Press
Back Bay Books
Little Brown and Company
Vintage
Vintage
Penguin
Simon Pulse
Ballantine Books
Knopf Books for Young Readers
Spectra Books
Mariner Books
Black Dog & Leventhal Publishers
Ballantine Books
Berkley
Arrow
Pocket Books
Jove
HarperPrism
Spectra
Berkley Books
Harvard Business Review Press
Bantam
Pan Childrens
HarperTrophy
William Morrow Paperbacks
Modern Library
Mariner Books
William Morrow
Dover Publications
Penguin Classics
Ace Books
Vision
Puffin Books
Vintage
No Exit Press
NAL
Tor Books
Bantam
Leisure Books
Harper Perennial
Simon Pulse
Bloomsbury Methuen Drama
Washington Square Press
Berkley Books
Penguin Classics
Scholastic Press
William Morrow Paperbacks
Vertigo
Berkley
Millenium
Grand Central Publishing
Grand Central Publishing
Oxford University Press
Turtleback Books
Nelson Books
Penguin Books
Delacorte Press
Penguin Classics
HarperTempest
Grand Central Publishing
Washington Square Press
William Morrow
Simon  Schuster
Harper Voyager
Penguin Classics
Little  Brown and Company
Jove
Warners Visions Books
Scholastic Paperbacks
Scholastic
Simon & Schuster
Pearson Longman
Ballantine Books
Berkley Books
DC Comics
Back Bay Books
Dial Press
McGraw-Hill Education
Aladdin Paperbacks
Berkley Books
Random House Trade Paperbacks
Clarkson Potter
William Morrow Paperbacks
HJ Kramer
Berkley Books
Anchor
Pocket Books
Orbit
Random House Trade Paperbacks
Penguin Books
Bantam
HarperCollins
Orbit
Berkley Books
Mariner Books
Gramercy Books
Modern Library Classics
Dell
Penguin Classics
Penguin Books
Gramercy Books
Berkley Books
Ace Books
Atria Books
Harper Voyager
Anchor
Berkley
Knopf Publishing Group
Dial Press
Tor Books
Dell Laurel-Leaf
Bantam Spectra
Penguin Books
Del Rey
Vintage Classics
Titan Books
Pantheon
Back Bay Books
Harper Perennial Modern Classics
Random House Trade Paperbacks
Barnes  Noble Classics
Aladdin
BALLANTINE BOOKS
Berkley Books
Penguin Classics
Penguin Books
Harpercollins Children's Books
Daw Books
Penguin Classics Deluxe Editions
Little Brown and Company
Signet
Hachette Books
Random House
Plume
Ace Books
Putnam
Warner Books (NY)
Perennial / William Morrow / HarperCollins
Broadway Books
Dial Books
Simon & Schuster
St. Martin's Griffin
Vertigo
Orchard Books
Random House Trade Paperbacks
Grand Central Publishing
Spectra
Vertigo
Ballantine Books
Bantam Doubleday Dell (NYC)
Black Dog & Leventhal Publishers
Vision
Little  Brown & Company
Workman Publishing Company
Grand Central Publishing
HarperTrophy
Black Dog & Leventhal
Anchor Books/Knopf Doubleday Publishing Group
Orion Publishing Group
Berkley
HarperCollins Publishers
Dell Publishing Company
Little  Brown and Company
W.W. Norton & Company
Devil's Due Publishing
Ballantine Books
No Exit Press
Harper
Wordsworth Editions
Vintage Contemporaries
Avon
Washington Square Press
Berkley Publishing Group
Penguin Group (USA)
Aladdin
Random House Trade Paperbacks
Little  Brown and Company
Square Fish
Image Comics
Penguin Books
Picador USA
HarperCollins Publishers Ltd
Warner Books
Modern Library
Anchor
Warner Books
Plume
Griffin
Random House Trade Paperbacks
Grand Central Publishing
Del Rey
Dover Publications
Vertigo
Picador USA
Warner Books (NY)
Free Press
Mariner Books
Bantem Press
HarperTrophy
Signet Classics
Grand Central Publishing
Baen Books
Vintage International
Black Dog & Leventhal Publishers
Harper Perennial Modern Classics
Random House Anchor
Vintage
Little  Brown and Company
Dover Publications
Little  Brown and Company
Vertigo
Anchor
Riverhead Books
St. Martin's Press
Vintage Books USA
Penguin Books Ltd
Seal
Berkley Books
Penguin Books Ltd
Grand Central Publishing
Tor Books
Hyperion Books
Andrews McMeel Publishing
Yale University Press
Penguin Classics
Harper Paperbacks
Ballantine Books
Berkley
Kensington
Wildside Press
Little  Brown and Company
Penguin Books
Dover Publications
David R. Godine Publisher
Bantam Books
Modern Library
Viking
HarperCollinsChildren’sBooks
Spectra
Harper Perennial
Dial Press
Eos
Daw Books
Jove
Yearling
HarperCollins Perennial
Broadway Books
Vintage
Hackett Publishing Company  Inc.
Berkley
Crown Publishing Group (NY)
Harper Voyager
Berkley
Penguin Classics
W.W. Norton & Company (NYC)
HarperCollins
Square Fish
Penguin Classics
Harcourt  Inc.(Harvest Book)
Hachette Books
HMH Books for Young Readers
HarperCollins Publishers
Mariner Books
Turtleback Books
Puffin Books
Thorndike Press
Scribner
Hachette Books
Del Rey Books
Modern Library
Harper Perennial Modern Classics
W. W. Norton  Company
Bantam
Grand Central Publishing
Severn House Publishers
Penguin Books
Amistad
Penguin Books
Bantam
Modern Library
Back Bay Books
Hachette Books
Vintage International
Tor
DAW
Canongate U.S.
HarperCollins
Laurel Leaf
William Morrow Paperbacks
Berkley
Simon  Schuster
Penguin
Mariner Books
VIZ Media LLC
HarperTorch
NAL
Simon & Schuster Childrens Books
St. Martin's Paperbacks
Riverhead Books
Golden/Disney
Clarkson Potter
Dell
Penguin Classics
Ballantine Books
William Morrow Paperbacks
Greenwillow Books
House of Stratus
Dey Street Books
Avon
HarperTrophy
Chelsea House Publications
Scholastic
Wizards of the Coast
Dover Publications
Bantam
Simon & Schuster Aladddin Paperbacks
Delta
Grove Press
Regan Books
Arrow
Dell
Canongate Books
Vision
Margaret K. McElderry Books
Ballantine Books
Back Bay Books
Washington Square Press
Harper Perennial
Grand Central Publishing
Pocket Books
William Morrow Paperbacks
Penguin Books
Anchor Books
FaithWords
Random House
Penguin
Warner Books (NY)
Modern Library
Ballantine Books
Warner Books
Orbit
Bantam Books
Farrar Straus Giroux
Random House Trade Paperbacks
Bantam Books
Grand Central Publishing
Ballantine Books
Barnes  Noble Classics
Speak
Gollancz
Ballantine Books
Dover Publications
Orbit
Berkley
Harper Perennial
Grand Central Publishing
Scribner
Berkley
Little  Brown Young Readers
Picador USA
Harper Voyager
Vintage Crime/Black Lizard
Scribner
Scribner
St. Martin's Griffin
Harper Perennial
Hackett Publishing Company
Firebird
Houghton Mifflin Harcourt
Puffin Books
Pocket Books
HarperCollins Publishers
Vertigo
Grand Central
Penguin Books
HarperPerennial
Bantam
Berkley
Vintage
Image Comics
HarperTorch
Simon  Schuster
VIZ Media LLC
Chicago Review Press
Vintage
Penguin Books
Houghton Mifflin
Vintage
HarperCollins Publishers
Harper Perennial
Fawcett Books
Tyndale House Publishers
Berkley
Plume Books
Vintage
Del Rey Books
Free Press
Harper
Dell Publishing Company
Grove Press
Vintage
Bantam
Jove
Harper Perennial
Dover Publications
Scribner
Picador
Modern Library
Disney-Hyperion
Picador USA
Minotaur Books
Bantam
Marvel
Alfred A. Knopf
Turtleback Books
Hackett Publishing Company  Inc.
W. W. Norton  Company
Random House Trade Paperbacks
Vintage
Hard Crime Case
Bantam
Berkley Books
Little  Brown Books for Young Readers
St. Martin's Griffin
Viking Adult
Berkley Books
HarperCollins
Grand Central Publishing
Penguin Books (NYC)
Marvel
Tor Books
Simon  Schuster
Puffin Books
Signet
Griffin
HMH Books for Young Readers
Bantam Classics
Bantam
Penguin Books
Anchor
HarperCollins Publishers
Andrews McMeel Publishing
Scribner
Alfred A. Knopf Books for Young Readers
Penguin Classics
Thomas Nelson
Farrar  Straus and Giroux
Berkley Publishing Group
Cambridge University Press
Puffin Books
Pocket Books
Random House Audio Publishing Group
Del Rey
Vintage Classics
Marvel Comics
Grove Press
Harper Voyager
Routledge
Picador USA
Black Dog & Leventhal Publishers
Bantam Books
Signet
Vintage
Orion
Penguin Classics
Little  Brown Book Group
Oxford University Press  USA
Putnam Adult
Simon  Schuster
Del Rey
G.P. Putnam's Sons
Firebird
Berkley
Broadway Books
Berkley Books
Alfred A. Knopf
Penguin Books
Grove Press
Signet
St. Martin's Griffin
Berkley
HarperOne
Berkley
Ballantine Books
VIZ Media LLC
Grand Central Publishing
DAW Books Inc
Viking Children's Books
Portfolio
Anchor
Modern Library
It Books
Penguin Books
HarperCollins
Simon & Schuster Books for Young Readers
HarperCollins Publishers
Scholastic Paperbacks
Dutton Books
Del Rey
Berkley Heat
Pantheon
Aladdin
W. W. Norton  Company
W. W. Norton  Company
HarperTorch
Avon Books
Bantam
Broadview Press Inc
Vintage Contemporaries
Presidio Press
Little Simon
Mariner Books
Vintage Classics
Harper Perennial
Hampton Roads Publishing Company
Grand Central Publishing
Faber and Faber
Del Rey Books
Atria Books
DAW Books
Shambhala Publications
Bantam
VIZ Media LLC
Vintage Books USA
Penguin
Delacorte Press
Tyndale House Publishers
New Directions
Bantam Spectra
Arlington House
Anchor
Doubleday Books
G.P. Putnam's Sons
Vertigo
Avon
Modern Library
Berkley Trade
Image Comics
Berkley Books
Penguin Books
Dutton
Bloomsbury Methuen Drama
Amistad
Coronet Books (GB)
Workman Publishing Company
Berkley
Greenwillow Books
Vintage Books USA
Picador USA
Dutton
Dell Publishing Company
Scholastic
Berkley
Picador
HarperCollins
Vintage
Warner Books (NY)
NAL
Picador USA
Vintage
Pocket Books
Vertigo
Harper Perennial
Harper
Viking Adult
Ace Books
It Books
Ballantine Books
Dell Publishing Company
Lama Foundation (San Cristobal  NM)
Penguin Books
Andrews McMeel Publishing
Pantheon Books
Penguin Classics
Purple House Press
Mariner Books
Vintage
Hachette Books
Random House Trade Paperbacks
Zondervan Publishing Company
Grand Central Publishing
Bantam Spectra (NY)
Schocken
DAW Fantasy
Vintage
VIZ Media LLC
Plume (Penguin Books Ltd)
Marvel Comics Group
Vintage
Houghton Mifflin Harcourt
Transworld Publishers Ltd
Stonewall Inn Editions
Vintage
Laurel Leaf
Putnam Adult
Harper Perennial Classics
Vanguard Press
Dodd Mead; 1st edition (September 1976)
Berkley
Liveright/W.W. Norton & Company  Inc.
BantamSpectra
Daw Books
Vintage International
Anchor
Scholastic
Ace Books
Broadway Books
Little  Brown Books for Young Readers
Harper Perennial
HarperTempest
NAL
William Morrow Paperbacks
Vintage
VIZ Media LLC
Poppy
Faber & Faber
Alfred A. Knopf
Albury Publishing
Vintage
Plaza & Janés
Vintage
Dial Press
Hodder
Delacorte Press
Riverhead Books
Candlewick Press
Alan Rodgers Books
Washington Square Press
Arrow
Washington Square Press
Penguin Classics
Riverhead Books
Signet
Puffin Books
Penguin Classics Deluxe Edition
G.P. Putnam's Sons
Vertigo
Penguin Books
DAW Books Inc
Bloomsbury
Bantam
Simon Pulse
Puffin
Oxford University Press  USA
Orion
Vintage
University of Chicago Press
Love Spell
Basic Books
Signet
Spectra Books
Little  Brown Books for Young Readers
DAW
Tyndale House Publishers
Harper Perennial
No Exit Press
Vintage
Abacus
Grand Central Publishing
VIZ Media LLC
VIZ Media LLC
DC Comics
Vintage Contemporaries
Pocket
Berkley Books
Penguin Books Ltd
Tor Fantasy
Anchor
Vintage
DAW Books Inc
Penguin Books Ltd.
Cambridge University Press
Penguin Books
Ballantine Books
Little Brown and Company
Plume
Pocket Books
Schocken
Bloomsbury U.S.A. Children's Books
Picador
Random House
Orion
Counterpoint LLC
Rayo
Bantam
Avon
Random House Trade
Legend
Harper Perennial
Dial Press Trade Paperback
Little  Brown Young Readers
Dial Press Trade Paperback
Bloomsbury Arden Shakespeare
Avon
Harper Perennial
HQN Books
Berkley Trade
The Orion Publishing Group Ltd
Firebird
Pocket Books
Taplinger Publishing
Ace Books
Penguin Books
Vintage
Univ Of Minnesota Press
IDW Publishing
Ballantine Books
Puffin
Aegypan
Wizards of the Coast
Delacorte Press
Del Rey
Puffin
Warner Books (NY)
Ace
Laurel Leaf
Alfred A. Knopf
Harper Teen
Signet
HarperOne
Free Press
Tor Books
Bantam
Vintage Crime/Black Lizard
Editions 10/18
Pocket Books/Simon & Schuster (NY)
Berkley
VIZ Media LLC
Random House Trade
HarperCollinsChildren’sBooks
William Morrow & Company
Anchor Books
Harper Perennial
Bantam Doubleday Dell Publishing Group
Faber and Faber
Hackett Publishing Company  Inc.
Owl Books
VIZ Media LLC
Contemporary Books
St. Martin's Paperbacks
Penguin Classics
Vintage
Headline
Ballantine Books
Penguin Classics
Harper Perennial
City Lights Publishers
Anchor
Ace Books
HarperTorch (an imprint of HarperCollins Publishers)
Poppy
Laurel Leaf Books
Little  Brown and Company
Oxford University Press
Putnam Adult
Ace Books
HarperTorch
Puffin Books
HarperLargePrint
Anchor
Spectra Books
Spectra
Spectra
St. Martin's Paperbacks
Berkley
Picador USA
Ballantine Books
Grand Central Publishing
Villard
Warner Books
Harcourt
Penguin Books
NAL
Penguin Books
Warner Forever
Aladdin Paperbacks
Harper Paperbacks
Harper Perennial Modern Classics
Dabel Brothers Publishing
Vintage
Del Rey
Harper Perennial
Grand Central Publishing
Roc
Distribooks
Tyndale House Publishers
Berkley Books
Signet
Berkley Books
Luna Books
Penguin Classics
Ecco
ReganBooks
Vintage
Warner Books
W.W. Norton & Company
Vintage Books USA
Harper Perennial
Oxford University Press  USA
Headline Feature
Hackett Publishing Company  Inc.
Vertigo
Pocket Books
MacMillan General Books
Daw Books
The Overlook Press
Vertigo
Grove Press
Spectra Books
Vision
Vertigo
Delacorte Press
Grove Press (NYC)
Warner Books (NY)
Ballantine Books
Harper Perennial Modern Classics
Faber and Faber
Del Rey
Simon & Schuster
Andrews McMeel Publishing
Night Shade Books
Berkley Publishing Group
Harper
Broadway Books
G.P. Putnam's Sons
Pocket Books
Simon & Schuster
Knopf Publishing Group
Oxford University Press
Penguin Books
Viking Books for Young Readers
Thomas Dunne Books
William Morrow Paperbacks
St. Martin's Paperbacks
Vintage Crime/Black Lizard
Contemporary French Fiction
Roc
Ballantine Books
Pocket Books
G.P. Putnam's Sons
Knopf Books for Young Readers
Little  Brown Books for Young Readers
Anchor
Jove
Ballantine Books
Free Press
Signet
Faber & Faber
VIZ Media LLC
Pocket Books
Grove Press
Bloomsbury
Berkley Books
Eos
Penguin Classics
Picador
HarperCollins
Peter Smith Publisher
Waterbrook Press
Kensington
Arrow
Mariner Books
Pantheon
Scribner Book Company
Ember
DAW
Hampton Roads Publishing Company
Ace
NAL
Vision
Pocket Books
Washington Square Press
Luna
Tyndale House Publishers
Warner Books (NY)
Del Rey Books
Penguin
Ace Books
HarperCollins Publishers
The New Press
Random House Trade Paperbacks
Penguin Books
Firebird
Penguin Books
Shambhala
Bantam
Dial Press Trade Paperback
Penguin Books
Clarkson Potter
Penguin Classics
Grand Central Publishing
Bantam
Downtown Press
Anchor
Scholastic Inc.
Puffin
Anchor
Everyman's Library
Oxford University Press
Harvill Press
Berkley Books
Vintage
Greenwillow Books
Harper Business
Vertigo
Scribner
Scribner
HMH Books for Young Readers
Orion Publishing Group
Vertigo
Digireads.com
Harper Voyager
Tor Books
Picador
Kensington
Vintage
L.A. Weekly Books
Harper Perennial
Ballantine Books
Routledge Classics
Simon  Schuster
Dover Publications
Pocket Books
Penguin Classics
AudioGO
Vintage
Penguin Classics
Harper Perennial (HarperCollins)
VIZ Media LLC
Princeton University Press
Dell
Gallimard
Laurel Leaf Library
Ballantine Books
Bloomsbury Publishing
Daw Books
Random House Trade
Vertigo
HarperCollins
Oxford University Press
HarperCollins
Thomas Nelson
Vertigo
HQN
Harper Voyager
Daw Books
Hachette Books
Vintage Crime/Black Lizard
Penguin Classics
Orb Books
Tyndale House Publishers
Spectra Books
Arrow
William Morrow Paperbacks
Picador USA
Wings
Grand Central Publishing
Vintage
Random House Books for Young Readers
W. W. Norton & Company
Vintage
Scribner Book Company
Berkley Books
HarperTeen
Penguin Books Ltd
Mariner Books
Harper Perennial Modern Classics
Ballantine Books
HarperCollins Publishers
Tor Books
Pocket Books
VIZ Media LLC
Faber and Faber
Ballantine Books
Scribner
Feiwel & Friends
Kensington
Vintage
Berkley
Crossway Books
Red Dress Ink
Penguin Classics
Washington Square Press
Ballantine Books
Penguin Books
Dial Press Trade Paperback
Grove Press
Severn House Publishers
Vertigo
Viz Media
University of Texas Press
Penguin Classics
Ballantine Books
Grand Central Publishing
Simon  Schuster
St. Martin's Paperbacks
Hill & Wang
Addison-Wesley Professional
Gollancz
Scribner
Mariner Books
Tyndale House Publishers
Spectra
Jove
Orion Books
MIRA
Tyndale House Publishers
Gallery Books
Kensington Publishing Corporation
Mariner Books
Back Bay Books
Avon
VIZ Media LLC
Dalkey Archive Press
Scribner
Liveright
Basic Books
Penguin Books
Penguin Books
Avon
Vertigo
Ballantine Books
Grand Central Publishing
Vintage
St. Martin's Paperbacks
Black Sparrow Press
Random House Trade Paperbacks
Penguin Classics
Harper Perennial Modern Classics
Picador USA
Vintage International
Spectra Books
BBC Audiobooks
Delta
Berkley
Vintage
Random House Trade Paperbacks
Simon  Schuster
Phoenix
HarperTorch
Penguin Books Ltd
Del Rey
HarperCollins
Ace
Crossing Press
Oxford University Press
Gingko Press
Anchor Books
Holt McDougal
Scribner
Harmony
DAW
Ballantine Books
Vintage
Penguin Classics
Penguin Books
Simon  Schuster
William Morrow Paperbacks
Penguin Books Ltd
HarperTorch
Everyman's Library
Vintage International
DAW
Ballantine Books
HarperCollins Publishers
Harper Perennial
Pantheon
Farrar Straus Giroux
Vintage
Zondervan
Penguin
Lyons Press
Mariner Books
Lucas Books
Pocket Books: Gallery Books
Workman Publishing Company
Vintage/Random House (NY)
Ballantine Books
Harper Perennial (NYC)
